date,deaths
8/19/2020,1
8/20/2020,1
8/21/2020,1
8/22/2020,0
8/23/2020,1
8/24/2020,1
8/25/2020,0
8/26/2020,1
8/27/2020,1
8/28/2020,1
8/29/2020,1
8/30/2020,8
8/31/2020,56
9/1/2020,143
9/2/2020,116
9/3/2020,54
9/4/2020,46
9/5/2020,36
9/6/2020,20
9/7/2020,28
9/8/2020,12
9/9/2020,11
9/10/2020,5
9/11/2020,5
9/12/2020,1
9/13/2020,3
9/14/2020,0
9/15/2020,1
9/16/2020,4
9/17/2020,2
9/18/2020,3
9/19/2020,0
9/20/2020,0
9/21/2020,2
9/22/2020,1
9/23/2020,1
9/24/2020,1
9/25/2020,1
9/26/2020,1
9/27/2020,1
9/28/2020,0
9/29/2020,0
